Model,Accuracy,Precision,Recall,F1 Score,False Positive Rate,Training Time (s),Inference Time (s),Memory Usage (MB)
Decision Tree,0.7377061815939572,0.8460871682450876,0.7377061815939572,0.6904435217205702,0.041811849942924126,3.0369060039520264,0.009090900421142578,0.97265625
Random Forest,0.7406865012075433,0.8126447613891059,0.7406865012075433,0.6466132716167585,0.050601340571444206,49.563239336013794,0.6163568496704102,64.22265625
XGBoost,0.7475720672113457,0.8061239709870738,0.7475720672113457,0.6708819812546515,0.04576369309163094,61.08158850669861,1.0914225578308105,20.69140625
LightGBM,0.18018087456965212,0.234600666801673,0.18018087456965212,0.17690864379741938,0.13094911013731125,47.913904905319214,3.1218862533569336,69.0859375
