Model,Accuracy_Full,Precision_Full,Recall_Full,F1 Score_Full,False Positive Rate_Full,Training Time (s)_Full,Inference Time (s)_Full,Memory Usage (MB)_Full,Accuracy_Selected,Precision_Selected,Recall_Selected,F1 Score_Selected,False Positive Rate_Selected,Training Time (s)_Selected,Inference Time (s)_Selected,Memory Usage (MB)_Selected
Decision Tree,0.7377061815939572,0.8460871682450876,0.7377061815939572,0.6904435217205702,0.041811849942924126,3.0369060039520264,0.009090900421142578,0.97265625,0.7387338780124352,0.8547906491139109,0.7387338780124352,0.6915608971595298,0.04162106309692754,0.5718224048614502,0.005934238433837891,0.0
Random Forest,0.7406865012075433,0.8126447613891059,0.7406865012075433,0.6466132716167585,0.050601340571444206,49.563239336013794,0.6163568496704102,64.22265625,0.7410975797749345,0.8131005169621932,0.7410975797749345,0.6473228994616756,0.05043689439447465,18.97295093536377,0.8478915691375732,37.68359375
XGBoost,0.7475720672113457,0.8061239709870738,0.7475720672113457,0.6708819812546515,0.04576369309163094,61.08158850669861,1.0914225578308105,20.69140625,0.7391706489902883,0.8124383041009446,0.7391706489902883,0.6458631950128932,0.050683006056191464,21.745811223983765,1.0314230918884277,0.078125
LightGBM,0.18018087456965212,0.234600666801673,0.18018087456965212,0.17690864379741938,0.13094911013731125,47.913904905319214,3.1218862533569336,69.0859375,0.5735573711525616,0.5079035996466379,0.5735573711525616,0.5128736671934405,0.0774644044174319,13.518449783325195,1.526259183883667,0.0078125
