Model,Accuracy,Precision,Recall,F1 Score,False Positive Rate,Training Time (s),Inference Time (s),Memory Usage (MB)
Decision Tree,0.7387338780124352,0.8547906491139109,0.7387338780124352,0.6915608971595298,0.04162106309692754,0.5718224048614502,0.005934238433837891,0.0
Random Forest,0.7410975797749345,0.8131005169621932,0.7410975797749345,0.6473228994616756,0.05043689439447465,18.97295093536377,0.8478915691375732,37.68359375
XGBoost,0.7391706489902883,0.8124383041009446,0.7391706489902883,0.6458631950128932,0.050683006056191464,21.745811223983765,1.0314230918884277,0.078125
LightGBM,0.5735573711525616,0.5079035996466379,0.5735573711525616,0.5128736671934405,0.0774644044174319,13.518449783325195,1.526259183883667,0.0078125
