Stage,Model,Accuracy,Precision,Recall,F1 Score
Before Fine-Tuning,Decision Tree,0.9553931075637774,0.9864318706697459,0.9313164349959117,0.9580821533716529
10% Fine-Tuning,Decision Tree,0.9733134427316427,0.995582202587567,0.955481526347668,0.9751197651058569
20% Fine-Tuning,Decision Tree,0.9837777363415998,0.9975550122249389,0.9727520435967303,0.9849974133471289
